X.IncMSE,IncNodePurity
pubyear,35.5088527968031,6.59644198601545
citationsyr,17.0232427845227,3.82959982609453
trophic_invader,14.7988253425884,2.24843790549519
journal_category,13.5427107014339,2.44207203367404
sentiment,13.2848005462673,4.91628293246135
impactfactor,10.7269581119349,3.69173564029444
habitat_type,8.8777944117739,1.60349581648597
FWS_NOAA,7.54744240266365,0.568646063491147
fund_NSF,6.97395741548282,0.6108993113925
yiabs,4.32316578876544,3.69430313734985
EPA_USDA_conserv,2.8277527802335,0.618830569898318
last_author_english,0.368883729085496,0.375166523334103
study_type,-2.05372082307583,0.3967851609578
