X.IncMSE,IncNodePurity
citationsyr,10.0826096480945,2.49876614964903
journal_category,8.89558309532871,1.79625980560229
EPA_USDA_conserv,6.93163292452595,0.60986665191586
sentiment,5.43548551324412,3.43240669129626
pubyear,5.2434476587415,2.1501749794418
trophic_invader,4.9278619840648,1.85083335130675
FWS_NOAA,2.29769279529129,0.639893462063669
last_author_english,0.759565546337508,0.384911809996466
habitat_type,-0.516116940685642,0.612049989870379
study_type,-0.775282860869753,0.634575141540154
fund_NSF,-1.47100818136956,0.383781157983473
impactfactor,-2.38611853785969,2.6250710327227
yiabs,-7.75806383653706,1.96609355243163
X.IncMSE,IncNodePurity
citationsyr,9.29078969693453,2.52218770475775
journal_category,8.99026262740214,1.84378195491943
EPA_USDA_conserv,6.82565628997668,0.698329224546062
trophic_invader,6.65997364492378,1.84891068636982
sentiment,5.77326132723795,3.31410358534578
pubyear,4.63535065808372,2.16682566556654
FWS_NOAA,1.93129588706616,0.752365494421659
habitat_type,1.44023902755823,0.704362668087034
last_author_english,1.1973675288313,0.336729403029924
fund_NSF,-0.545532910834844,0.376679653399825
study_type,-1.23238217180786,0.559604404099731
impactfactor,-1.39167465981808,2.56543869331638
yiabs,-5.98971932980637,2.02771479902035
X.IncMSE,IncNodePurity
citationsyr,10.2215370034811,2.36761892756565
journal_category,8.32618849885838,1.96747894131707
EPA_USDA_conserv,7.10548406865023,0.613204867265884
trophic_invader,6.90335486241544,1.75123540936535
sentiment,6.4092087857088,3.45835718211574
pubyear,4.56993454433898,2.30060789175211
FWS_NOAA,2.72216773121401,0.719070847275317
last_author_english,0.97182211504888,0.37459590793227
habitat_type,-0.0272218070350284,0.651358950795019
study_type,-0.86343758047968,0.522637238003558
impactfactor,-1.81795260817727,2.74365143166774
fund_NSF,-2.38732782827731,0.394252546467278
yiabs,-6.7000933345835,1.88412498213737
X.IncMSE,IncNodePurity
journal_category,9.89213592703328,1.74036243577271
citationsyr,8.93907717685247,2.46565578935222
EPA_USDA_conserv,7.84396468335958,0.645918629269366
trophic_invader,6.02464966224454,1.87372581350652
pubyear,5.73175826478359,2.09840137440631
sentiment,4.06861866963712,3.37532159780959
FWS_NOAA,2.91139595928375,0.665060541420834
last_author_english,1.26744818852964,0.352905719905633
habitat_type,-0.0120748056024717,0.680911951223562
study_type,-0.412808939204506,0.584520781521618
fund_NSF,-0.883218590754664,0.416778644996855
impactfactor,-3.7797507595638,2.64462223712748
yiabs,-7.96345519641674,1.91899261995398
