X.IncMSE,IncNodePurity
pubyear,26.8195274127136,5.12908742581477
EPA_USDA_conserv,6.74864753962574,0.858433115714246
last_author_english,3.85022282895463,0.451443954924143
impactfactor,2.2775919035094,2.4782507017209
yiabs,2.23194036892183,2.46461837166069
trophic_invader,0.382402295146465,1.63268360186806
fund_NSF,0.0694067149716325,0.36539364674023
citationsyr,-0.255480559521537,2.46928919345615
FWS_NOAA,-0.320487666924119,0.796085514471883
habitat_type,-0.401464155634857,0.710304260328493
study_type,-2.71884232590235,0.529720857127186
journal_category,-3.75066126197566,1.05164153212441
sentiment,-6.78752351339274,2.50836873984506
X.IncMSE,IncNodePurity
pubyear,25.0572100312173,5.0664653836986
EPA_USDA_conserv,5.95308798130511,0.866000102561055
yiabs,3.75048808730735,2.4672025041116
last_author_english,1.43535435803444,0.461975487513408
citationsyr,0.674313621838921,2.53235809315598
trophic_invader,-0.716771655117882,1.57430758688055
fund_NSF,-0.906098715977121,0.357891515946689
FWS_NOAA,-1.03429566717811,0.858746835045281
impactfactor,-1.05350842033843,2.57161493145464
habitat_type,-1.10510272199919,0.6543106008841
study_type,-1.4834595026568,0.55898030191695
journal_category,-2.53320130548619,1.04199314264104
sentiment,-5.80715110172333,2.37233354938319
X.IncMSE,IncNodePurity
pubyear,27.9822720339775,5.18325527063391
EPA_USDA_conserv,6.31800155364548,0.769034932054634
last_author_english,4.4523764469704,0.453728961924876
yiabs,3.285705323048,2.49430260496176
impactfactor,0.919019980467356,2.59017153411937
habitat_type,0.721942873607279,0.709917227119969
fund_NSF,0.419654397980599,0.386734153176697
citationsyr,0.273048925843182,2.51136213815874
trophic_invader,-0.200549188715851,1.56255961795718
FWS_NOAA,-1.37371538271823,0.832275476852167
study_type,-2.08553817906027,0.513205815327575
journal_category,-2.65513731183427,1.03598908943362
sentiment,-7.70653005435458,2.4317249586993
X.IncMSE,IncNodePurity
pubyear,26.5816294560603,5.1176953016549
EPA_USDA_conserv,6.86535234269782,0.807225994052079
last_author_english,2.61201182362479,0.45679954648075
yiabs,1.38907094859547,2.47830304443197
fund_NSF,1.04886307590687,0.372516191906284
habitat_type,0.651096318410211,0.67924536825743
citationsyr,0.340209858438332,2.59752760235222
impactfactor,0.201144608008611,2.65244639134372
trophic_invader,-0.552411601554865,1.6180769983988
journal_category,-1.33446371376253,1.0104126977198
FWS_NOAA,-2.34139128132011,0.841215978450237
study_type,-3.46506967643308,0.49352804463637
sentiment,-6.99675385241217,2.49037455409326
X.IncMSE,IncNodePurity
pubyear,26.3238056005775,5.14078252109314
EPA_USDA_conserv,6.14510581516616,0.78139645880707
last_author_english,3.20965041624464,0.465274150340781
impactfactor,2.53225653035945,2.49638275482014
yiabs,1.4693462765474,2.55011365859558
trophic_invader,0.48516898607277,1.56639908212016
citationsyr,0.376847705742355,2.53331121886605
habitat_type,0.231858227029852,0.682822087333389
fund_NSF,0.105794145538828,0.355499359799836
study_type,-0.565110349247436,0.517280722059132
FWS_NOAA,-1.03245273258748,0.821072333281515
journal_category,-1.58444118169043,1.02988021859663
sentiment,-6.07617379175672,2.57186236765231
X.IncMSE,IncNodePurity
pubyear,26.5389445099405,5.11545072678567
EPA_USDA_conserv,7.24228210824246,0.808274288186462
last_author_english,3.21141095577742,0.47581672408644
yiabs,3.10644601401685,2.52981557887953
impactfactor,0.246075724717506,2.41460972218601
fund_NSF,-0.658252586755366,0.383489965375554
trophic_invader,-1.0243688658457,1.68808697058291
habitat_type,-1.90382414309545,0.70393350009355
journal_category,-2.43407564082012,1.0653730324401
citationsyr,-2.49960864199419,2.50249316294609
study_type,-2.85546070317858,0.561046393433455
FWS_NOAA,-2.98972687378996,0.83900582301395
sentiment,-5.90567044502896,2.45528471267121
X.IncMSE,IncNodePurity
pubyear,25.2947448224304,5.17476487878636
EPA_USDA_conserv,6.81868407193191,0.818169638134959
yiabs,2.70688535375154,2.54572558256866
last_author_english,2.50916867441989,0.470636889305438
fund_NSF,0.259445378318672,0.385061732781334
trophic_invader,0.0746290525915228,1.5528468802516
impactfactor,-0.186298412181998,2.63168446602352
citationsyr,-0.2342801683558,2.49623742252164
habitat_type,-0.45087030257434,0.682816139166362
FWS_NOAA,-0.513863052592403,0.823911641543778
study_type,-1.10485647613687,0.479484892714764
journal_category,-1.15197973446606,1.01957775766787
sentiment,-6.39382562125255,2.44612461438086
X.IncMSE,IncNodePurity
pubyear,25.8406904429465,5.02128814471689
EPA_USDA_conserv,7.63605425493659,0.829007742655244
last_author_english,3.37173755842413,0.475977330880126
yiabs,3.09675584055088,2.43579216607623
fund_NSF,1.08173183812403,0.356381286593817
impactfactor,0.0873278971547189,2.61457911215743
habitat_type,-0.185228953194687,0.689690495509811
study_type,-0.284306256814998,0.520481083117386
trophic_invader,-0.925428089105273,1.60743917487757
citationsyr,-1.04731486041073,2.54574996863893
FWS_NOAA,-1.13327748510762,0.805216649112913
journal_category,-2.65827791378459,0.932096273084152
sentiment,-6.52166353878775,2.49911349289902
X.IncMSE,IncNodePurity
pubyear,25.0247418545654,4.9896363784088
EPA_USDA_conserv,6.39356403605776,0.806933443485684
last_author_english,4.65917194660575,0.424893208959265
yiabs,0.816236278254676,2.51917400777287
trophic_invader,0.143076619843832,1.56900563913277
habitat_type,-0.133186594964822,0.739522307703524
study_type,-0.351976296276909,0.498261977869253
impactfactor,-1.04674822342206,2.61079162361736
citationsyr,-1.26349333848932,2.57821680345384
fund_NSF,-1.42729059806931,0.442120947278242
FWS_NOAA,-2.25646535958463,0.80387121527535
