X.IncMSE,IncNodePurity
journal_category,9.80349875691686,1.82035202845564
citationsyr,9.2808791207072,2.70778818323591
pubyear,5.85160791451109,2.2685813702641
EPA_USDA_conserv,5.76983052838336,0.590356470145024
trophic_invader,4.65485526747009,1.74297494323071
sentiment,3.81437494842644,3.34214623291794
FWS_NOAA,0.695572080146161,0.675721238299961
habitat_type,-0.340404281225466,0.734876819284713
last_author_english,-0.412436605011429,0.34697284135882
study_type,-0.755917287736927,0.530487924991597
impactfactor,-2.7624441302952,2.72608025353339
fund_NSF,-3.53513470163782,0.357553160659544
yiabs,-7.17052159502422,1.99872524601176
