X.IncMSE,IncNodePurity
trophic_invader,24.2391688386668,7.77169684677971
pubyear,10.2226962993715,5.79546495476539
last_author_english,9.53155233811044,1.23981140688931
journal_category,9.09045751909473,2.99214167011097
citationsyr,4.83798044627412,8.85143119177928
study_type,3.30125377526784,0.755093026568944
sentiment,2.13712846300223,5.26878552943585
EPA_USDA_conserv,1.78265208757217,0.649424646016536
impactfactor,1.34646611484667,8.72146729047199
fund_NSF,0.755049297904488,0.602338989944173
habitat_type,-0.0127346889593071,0.933397227973311
FWS_NOAA,-1.13196016216282,1.82260317407805
yiabs,-4.62116961605704,4.15719458711981
