X.IncMSE,IncNodePurity
pubyear,42.0997945710801,14.0111334816172
citationsyr,20.2123111229076,9.00481182810782
EPA_USDA_conserv,15.110982775811,2.23667434738425
impactfactor,12.8801336431792,8.11381229941446
habitat_type,8.85465019675367,2.09757086051872
sentiment,8.71377202600799,8.94186692817268
journal_category,7.96961234878864,3.96418463488268
trophic_invader,5.32791333469053,3.6947119502457
study_type,4.37857971204466,2.18397130283964
FWS_NOAA,2.81839017286892,1.11472701890778
fund_NSF,2.02604052148113,1.22985911134049
yiabs,1.94225795035001,7.86156468084559
last_author_english,0.458231085281221,0.852092707633797
