X.IncMSE,IncNodePurity,
last_author_english,0.996448302,0.401923702
study_type,-3.459186589,0.410823132
X.IncMSE,IncNodePurity,
pubyear,33.67314438,6.67330627
citationsyr,16.76117831,3.626839581
trophic_invader,14.70566349,2.412845145
sentiment,13.43422985,5.127514508
journal_category,12.33228184,2.318677081
habitat_type,10.41607694,1.52065395
impactfactor,9.352055313,3.717023643
FWS_NOAA,8.441358701,0.596254213
fund_NSF,4.645545485,0.565745326
EPA_USDA_conserv,3.882443081,0.635832482
last_author_english,2.338405245,0.419550466
yiabs,1.961853453,3.530785007
study_type,-3.466942684,0.48100361
X.IncMSE,IncNodePurity,
pubyear,34.20723377,6.528944455
citationsyr,15.95306912,3.898672309
sentiment,13.98934134,5.045818702
trophic_invader,13.89148525,2.343118463
journal_category,13.7731329,2.329666926
impactfactor,9.886439355,3.632437647
habitat_type,8.892161297,1.570146091
FWS_NOAA,7.476993668,0.520672024
yiabs,6.418436586,3.629518704
fund_NSF,5.614919187,0.599349441
EPA_USDA_conserv,4.805699031,0.695149387
last_author_english,0.180119748,0.371139304
study_type,-2.607639904,0.429571833
X.IncMSE,IncNodePurity,
pubyear,33.7359544,6.385563229
citationsyr,16.46346214,3.869423458
trophic_invader,14.24417077,2.396594819
sentiment,13.78929971,4.885990009
journal_category,13.28479361,2.352519599
impactfactor,10.17284428,3.498170167
habitat_type,8.698933004,1.633781494
FWS_NOAA,8.173521363,0.560758101
fund_NSF,4.658468137,0.6222477
EPA_USDA_conserv,4.129661398,0.618228644
yiabs,3.232747874,3.737197021
last_author_english,3.140256598,0.361426608
study_type,-2.599252383,0.437464039
X.IncMSE,IncNodePurity,
pubyear,35.54339031,6.704882749
citationsyr,17.73043317,3.827613496
trophic_invader,14.34344648,2.266524233
journal_category,13.88657436,2.364221646
sentiment,12.89531525,5.15723233
impactfactor,10.19011489,3.492584371
habitat_type,9.44541871,1.500112436
FWS_NOAA,7.985077134,0.543301422
fund_NSF,5.751024604,0.625423724
EPA_USDA_conserv,2.600261429,0.627515159
yiabs,2.446428048,3.623135419
last_author_english,0.702303071,0.355100101
study_type,-2.858051753,0.392068149
X.IncMSE,IncNodePurity,
pubyear,34.22056292,6.685746916
citationsyr,17.2543912,3.913760365
sentiment,13.84923228,4.869122746
trophic_invader,13.40120249,2.381746812
journal_category,13.20956933,2.461337264
impactfactor,10.138958,3.541968272
habitat_type,9.574554668,1.602980257
FWS_NOAA,7.197059314,0.559484867
fund_NSF,5.758840646,0.635632829
EPA_USDA_conserv,4.983928914,0.581588149
yiabs,2.286459581,3.60664307
last_author_english,-0.551584154,0.3676123
study_type,-2.753969019,0.437069647
X.IncMSE,IncNodePurity,
pubyear,32.85190564,6.795865392
citationsyr,15.30641561,3.904001334
trophic_invader,14.15890637,2.304091056
sentiment,12.91670682,4.896978179
journal_category,12.17226898,2.455604778
habitat_type,9.102482436,1.494700402
impactfactor,9.014570667,3.553266712
FWS_NOAA,7.673440919,0.580923424
fund_NSF,5.315242163,0.639219068
yiabs,3.234258415,3.608580774
EPA_USDA_conserv,3.097684117,0.609002537
last_author_english,1.473862284,0.386103081
study_type,-3.674256574,0.400595841
X.IncMSE,IncNodePurity,
pubyear,34.03607083,6.708162099
citationsyr,15.48367223,3.897212309
trophic_invader,14.59212564,2.31301106
sentiment,14.45605156,5.150158239
journal_category,13.01949676,2.350700235
impactfactor,9.10502612,3.529378763
FWS_NOAA,7.774374252,0.563000442
habitat_type,7.024357046,1.52564267
EPA_USDA_conserv,5.339606695,0.594130292
fund_NSF,4.204942374,0.551783787
yiabs,3.037691065,3.654288014
last_author_english,-1.353469105,0.407058798
study_type,-2.98117274,0.438861367
X.IncMSE,IncNodePurity,
pubyear,33.14663533,6.645521302
citationsyr,16.01192075,3.703865844
